,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
287176,K06,Baboon,6/22/17 5:55,6/22/17,5:55:23,44,1,0,0,Complete/K06/Baboon,EK007670.JPG
339901,M10,Baboon,12/13/16 5:55,12/13/16,5:55:23,32,1,0,0,Complete/M10/Baboon,12130178.JPG
287177,K06,Baboon,6/22/17 5:55,6/22/17,5:55:24,1,0,0,0,Complete/K06/Baboon,EK007671.JPG
339902,M10,Baboon,12/13/16 5:55,12/13/16,5:55:25,2,0,0,0,Complete/M10/Baboon,12130179.JPG
172395,I04,Baboon,4/8/17 5:55,4/8/17,5:55:27,44246,737,12.3,0.5,Complete/I04/Baboon,04080814.JPG
317772,L07,Baboon,7/6/17 5:55,7/6/17,5:55:30,49815,830,13.8,0.6,Complete/L07/Baboon,02250833.JPG
122214,G10,Baboon,1/19/17 5:55,1/19/17,5:55:44,190,3,0,0,Complete/G10/Baboon,EK001067.JPG
122215,G10,Baboon,1/19/17 5:55,1/19/17,5:55:45,1,0,0,0,Complete/G10/Baboon,EK001068.JPG
335007,L13,Baboon,4/13/17 5:55,4/13/17,5:55:49,33,1,0,0,Complete/L13/Baboon,04130447.JPG
335008,L13,Baboon,4/13/17 5:55,4/13/17,5:55:50,1,0,0,0,Complete/L13/Baboon,04130448.JPG
22667,B09,Baboon,12/22/16 5:55,12/22/16,5:55:51,65,1,0,0,Complete/B09/Baboon,12220353.JPG
22668,B09,Baboon,12/22/16 5:55,12/22/16,5:55:53,2,0,0,0,Complete/B09/Baboon,12220354.JPG
267894,J13,Baboon,12/12/16 5:55,12/12/16,5:55:56,90,2,0,0,Complete/J13/Baboon,EK002339.JPG
267895,J13,Baboon,12/12/16 5:55,12/12/16,5:55:56,90,2,0,0,Complete/J13/Baboon,EK002340.JPG
127995,G12,Baboon,2/16/17 5:55,2/16/17,5:55:59,134268,2238,37.3,1.6,Complete/G12/Baboon,02160445.JPG
127996,G12,Baboon,2/16/17 5:56,2/16/17,5:56:01,2,0,0,0,Complete/G12/Baboon,02160446.JPG
90842,F07,Baboon,1/19/17 5:56,1/19/17,5:56:03,48795,813,13.6,0.6,Complete/F07/Baboon,EK006861.JPG
90843,F07,Baboon,1/19/17 5:56,1/19/17,5:56:03,48795,813,13.6,0.6,Complete/F07/Baboon,EK006862.JPG
68320,E06,Baboon,12/29/16 5:56,12/29/16,5:56:05,46,1,0,0,Complete/E06/Baboon,EK002883.JPG
68321,E06,Baboon,12/29/16 5:56,12/29/16,5:56:05,46,1,0,0,Complete/E06/Baboon,EK002884.JPG
287178,K06,Baboon,6/22/17 5:56,6/22/17,5:56:10,46,1,0,0,Complete/K06/Baboon,EK007672.JPG
287179,K06,Baboon,6/22/17 5:56,6/22/17,5:56:11,1,0,0,0,Complete/K06/Baboon,EK007673.JPG
141394,H05,Baboon,12/14/16 5:56,12/14/16,5:56:25,86,1,0,0,Complete/H05/Baboon,EK001575.JPG
141395,H05,Baboon,12/14/16 5:56,12/14/16,5:56:26,1,0,0,0,Complete/H05/Baboon,EK001576.JPG
142121,H05,Baboon,4/2/17 5:56,4/2/17,5:56:33,200,3,0,0,Complete/H05/Baboon,EK006441.JPG
142122,H05,Baboon,4/2/17 5:56,4/2/17,5:56:33,200,3,0,0,Complete/H05/Baboon,EK006442.JPG
122216,G10,Baboon,1/19/17 5:56,1/19/17,5:56:38,53,1,0,0,Complete/G10/Baboon,EK001069.JPG
122217,G10,Baboon,1/19/17 5:56,1/19/17,5:56:39,1,0,0,0,Complete/G10/Baboon,EK001070.JPG
128019,G12,Baboon,2/20/17 5:56,2/20/17,5:56:40,42553,709,11.8,0.5,Complete/G12/Baboon,02200574.JPG
339663,M10,Baboon,11/27/16 5:56,11/27/16,5:56:42,121,2,0,0,Complete/M10/Baboon,11270681.JPG
128020,G12,Baboon,2/20/17 5:56,2/20/17,5:56:43,3,0,0,0,Complete/G12/Baboon,02200575.JPG
339664,M10,Baboon,11/27/16 5:56,11/27/16,5:56:44,2,0,0,0,Complete/M10/Baboon,11270682.JPG
201114,I08,Baboon,12/12/16 5:56,12/12/16,5:56:45,170,3,0,0,Complete/I08/Baboon,EK000537.JPG
201115,I08,Baboon,12/12/16 5:56,12/12/16,5:56:46,1,0,0,0,Complete/I08/Baboon,EK000538.JPG
339903,M10,Baboon,12/13/16 5:56,12/13/16,5:56:52,87,1,0,0,Complete/M10/Baboon,12130180.JPG
339935,M10,Baboon,12/15/16 5:56,12/15/16,5:56:52,280,5,0.1,0,Complete/M10/Baboon,12150288.JPG
142173,H05,Baboon,4/12/17 5:56,4/12/17,5:56:53,701,12,0.2,0,Complete/H05/Baboon,EK006851.JPG
287180,K06,Baboon,6/22/17 5:56,6/22/17,5:56:53,42,1,0,0,Complete/K06/Baboon,EK007674.JPG
142174,H05,Baboon,4/12/17 5:56,4/12/17,5:56:54,1,0,0,0,Complete/H05/Baboon,EK006852.JPG
287181,K06,Baboon,6/22/17 5:56,6/22/17,5:56:54,1,0,0,0,Complete/K06/Baboon,EK007675.JPG
330560,L11,Baboon,4/21/17 5:56,4/21/17,5:56:54,44812,747,12.4,0.5,Complete/L11/Baboon,04210241.JPG
330561,L11,Baboon,4/21/17 5:56,4/21/17,5:56:54,44812,747,12.4,0.5,Complete/L11/Baboon,04210242.JPG
339904,M10,Baboon,12/13/16 5:56,12/13/16,5:56:54,2,0,0,0,Complete/M10/Baboon,12130181.JPG
339936,M10,Baboon,12/15/16 5:56,12/15/16,5:56:55,3,0,0,0,Complete/M10/Baboon,12150289.JPG
5096,A08,Baboon,12/17/16 5:57,12/17/16,5:57:02,330880,5515,91.9,3.8,Complete/A08/Baboon,12170177.JPG
272702,K04,Baboon,12/23/16 5:57,12/23/16,5:57:03,226,4,0.1,0,Complete/K04/Baboon,12230570.JPG
5097,A08,Baboon,12/17/16 5:57,12/17/16,5:57:04,2,0,0,0,Complete/A08/Baboon,12170178.JPG
267896,J13,Baboon,12/12/16 5:57,12/12/16,5:57:04,68,1,0,0,Complete/J13/Baboon,EK002341.JPG
267897,J13,Baboon,12/12/16 5:57,12/12/16,5:57:04,68,1,0,0,Complete/J13/Baboon,EK002342.JPG
335009,L13,Baboon,4/13/17 5:57,4/13/17,5:57:04,74,1,0,0,Complete/L13/Baboon,04130449.JPG
335010,L13,Baboon,4/13/17 5:57,4/13/17,5:57:04,74,1,0,0,Complete/L13/Baboon,04130450.JPG
22713,B09,Baboon,12/27/16 5:57,12/27/16,5:57:05,685,11,0.2,0,Complete/B09/Baboon,12270268.JPG
272703,K04,Baboon,12/23/16 5:57,12/23/16,5:57:05,2,0,0,0,Complete/K04/Baboon,12230571.JPG
22714,B09,Baboon,12/27/16 5:57,12/27/16,5:57:07,2,0,0,0,Complete/B09/Baboon,12270269.JPG
68181,E06,Baboon,12/15/16 5:57,12/15/16,5:57:07,219050,3651,60.9,2.5,Complete/E06/Baboon,EK002407.JPG
68182,E06,Baboon,12/15/16 5:57,12/15/16,5:57:07,219050,3651,60.9,2.5,Complete/E06/Baboon,EK002408.JPG
120550,G08,Baboon,3/9/17 5:57,3/9/17,5:57:07,184,3,0,0,Complete/G08/Baboon,03110343.JPG
120551,G08,Baboon,3/9/17 5:57,3/9/17,5:57:09,2,0,0,0,Complete/G08/Baboon,03110344.JPG
91205,F07,Baboon,2/13/17 5:57,2/13/17,5:57:13,58654,978,16.3,0.7,Complete/F07/Baboon,EK005338.JPG
91206,F07,Baboon,2/13/17 5:57,2/13/17,5:57:13,58654,978,16.3,0.7,Complete/F07/Baboon,EK005339.JPG
339665,M10,Baboon,11/27/16 5:57,11/27/16,5:57:14,30,0,0,0,Complete/M10/Baboon,11270683.JPG
339666,M10,Baboon,11/27/16 5:57,11/27/16,5:57:17,3,0,0,0,Complete/M10/Baboon,11270684.JPG
286369,K06,Baboon,3/29/17 5:57,3/29/17,5:57:22,183,3,0,0,Complete/K06/Baboon,EK000573.JPG
120633,G08,Baboon,3/27/17 5:57,3/27/17,5:57:33,392,7,0.1,0,Complete/G08/Baboon,03290557.JPG
