SppCode1,SppCode2,SIF,Direction,sd,2.50%,97.50%,Rhat,psiA,sd,2.50%,97.50%,Rhat,psiBA,sd,2.50%,97.50%,Rhat,psiBa,sd,2.50%,97.50%,Rhat,psiB,sd,2.50%,97.50%,Rhat,pA,sd,2.50%,97.50%,Rhat,pB,sd,2.50%,97.50%,Rhat
BDCR,GEGE,1.02,None,0.07,0.84,1.14,1,0.22,0.05,0.12,0.33,1,0.92,0.07,0.74,1,1,0.91,0.04,0.81,0.97,1,0.91,0.04,0.83,0.97,1,0.03,0,0.02,0.03,1,0.11,0,0.11,0.12,1
BDCR,HIAM,1.15,None,0.91,0.05,3.44,1,0.22,0.05,0.12,0.33,1,0.36,0.28,0.01,0.95,1,0.39,0.28,0.02,0.95,1,0.38,0.24,0.04,0.87,1,0.03,0,0.02,0.03,1,0,0,0,0.01,1
BDCR,LEMI,0.53,None,0.24,0.13,1.07,1,0.22,0.05,0.12,0.34,1,0.21,0.11,0.05,0.45,1,0.45,0.07,0.32,0.6,1,0.4,0.06,0.28,0.53,1,0.03,0,0.02,0.03,1,0.04,0,0.03,0.05,1
BDCR,LOAF,1.01,None,0.07,0.84,1.13,1,0.22,0.05,0.12,0.33,1,0.93,0.07,0.75,1,1,0.92,0.04,0.82,0.98,1,0.92,0.03,0.84,0.97,1,0.03,0,0.02,0.03,1,0.05,0,0.04,0.05,1
BDCR,MECA,1.04,None,0.22,0.61,1.46,1,0.22,0.05,0.12,0.33,1,0.61,0.14,0.34,0.87,1,0.59,0.08,0.43,0.74,1,0.59,0.07,0.46,0.73,1,0.03,0,0.02,0.03,1,0.02,0,0.01,0.02,1
BDCR,MUMU,0.64,None,0.29,0.17,1.26,1,0.22,0.05,0.12,0.33,1,0.37,0.19,0.09,0.82,1,0.64,0.16,0.36,0.95,1,0.58,0.14,0.34,0.86,1,0.03,0,0.02,0.03,1,0.01,0,0,0.01,1
BDCR,ORAF,0.88,None,0.28,0.37,1.46,1,0.22,0.05,0.12,0.33,1,0.4,0.14,0.15,0.68,1,0.47,0.08,0.31,0.63,1,0.45,0.07,0.32,0.6,1,0.03,0,0.02,0.03,1,0.02,0,0.01,0.02,1
BDCR,OTCR,1.5,None,0.42,0.74,2.4,1,0.22,0.05,0.12,0.33,1,0.57,0.17,0.25,0.92,1,0.33,0.1,0.17,0.57,1,0.39,0.09,0.23,0.6,1,0.03,0,0.02,0.03,1,0.01,0,0,0.01,1
BDCR,PACY,0.96,None,0.06,0.81,1.04,1,0.22,0.05,0.12,0.33,1,0.93,0.06,0.76,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.03,0,0.02,0.03,1,0.34,0,0.33,0.35,1
BDCR,PALE,0.53,None,0.46,0.02,1.69,1,0.22,0.05,0.12,0.33,1,0.09,0.08,0,0.3,1,0.18,0.07,0.07,0.35,1,0.16,0.06,0.07,0.3,1,0.03,0,0.02,0.03,1,0.01,0,0.01,0.02,1
BDCR,POLA,1,None,0.07,0.84,1.12,1,0.22,0.05,0.12,0.33,1,0.93,0.07,0.76,1,1,0.93,0.04,0.84,0.98,1,0.93,0.03,0.85,0.98,1,0.03,0,0.02,0.03,1,0.04,0,0.04,0.04,1
BDCR,SYCA,0.24,Negative,0.22,0.01,0.8,1,0.22,0.05,0.12,0.33,1,0.07,0.07,0,0.26,1,0.37,0.07,0.24,0.52,1,0.31,0.06,0.19,0.43,1,0.03,0,0.02,0.03,1,0.02,0,0.02,0.03,1
BDCR,SYGR,1.05,None,0.39,0.37,1.89,1,0.22,0.05,0.12,0.33,1,0.28,0.12,0.09,0.54,1,0.27,0.06,0.15,0.4,1,0.27,0.06,0.17,0.39,1,0.03,0,0.02,0.03,1,0.03,0,0.03,0.04,1
BDCR,TAOR,0.68,None,0.56,0.02,2.08,1,0.22,0.05,0.12,0.33,1,0.2,0.2,0,0.76,1,0.34,0.21,0.07,0.88,1,0.31,0.19,0.07,0.77,1,0.03,0,0.02,0.03,1,0,0,0,0.01,1
BDCR,TRST,0.82,None,0.14,0.53,1.07,1,0.22,0.05,0.12,0.33,1,0.65,0.13,0.39,0.87,1,0.83,0.05,0.72,0.93,1,0.8,0.05,0.69,0.89,1,0.03,0,0.02,0.03,1,0.03,0,0.03,0.04,1
BDCR,TRSY,0.96,None,0.06,0.81,1.04,1,0.22,0.05,0.12,0.33,1,0.93,0.06,0.76,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.03,0,0.02,0.03,1,0.25,0,0.24,0.26,1
CEAL,AEME,1.03,None,0.11,0.78,1.22,1,0.21,0.05,0.12,0.33,1,0.85,0.1,0.62,0.98,1,0.82,0.05,0.7,0.91,1,0.83,0.05,0.73,0.91,1,0.02,0,0.01,0.03,1,0.16,0,0.16,0.17,1
