"","row","column","cor","p"
"312","boundary.distance","fire2015.date",0.564167799092918,0.00268209885233661
"313","road.distance","fire2015.date",-0.144136388520092,0.48237362340334
"314","road.major.distance","fire2015.date",-0.197049568538078,0.334620464933362
"315","urema.distance","fire2015.date",-0.305866760575361,0.128610591943293
"316","pan.distance","fire2015.date",-0.120086368460447,0.55899890764434
"317","river.distance","fire2015.date",-0.390783611811736,0.0483922275287452
"318","tree.100m","fire2015.date",0.186204291755267,0.362419248288059
"319","tree.250m","fire2015.date",0.217709100540252,0.285345537577054
"320","tree.500m","fire2015.date",0.234936866971423,0.247971314719612
"321","tree.1km","fire2015.date",0.269971885483638,0.182264665850962
"322","termites.100m","fire2015.date",-0.12924273879176,0.529186572737905
"323","termites.250m","fire2015.date",0.096273021645631,0.639895868792081
"324","termites.500m","fire2015.date",0.0771712847649186,0.7078800168532
"325","termites.1km","fire2015.date",0.0687516662835485,0.738590821062449
"326","Longitude.UTM","fire2016.date",0.900362481469641,0.00015746338596756
"327","Latitude.UTM","fire2016.date",-0.099025139739675,0.772066980901462
"328","cover.ground","fire2016.date",-0.549968842474897,0.0796345820606446
"329","termite.count.100m","fire2016.date",-0.334165983856857,0.315195145655431
"330","termite.count.50m","fire2016.date",-0.274314287999439,0.41432691116816
"331","termite.large.count.100m","fire2016.date",-0.334165983856857,0.315195145655431
"332","termite.large.count.50m","fire2016.date",-0.274314287999439,0.41432691116816
"333","habitat.number","fire2016.date",0.0694846913827144,0.839133037907739
"334","fire.interval","fire2016.date",-0.30555187935367,0.360850878346683
"335","poaching.all","fire2016.date",-0.350861489302331,0.290080492893908
"336","poaching.high","fire2016.date",-0.350861489302331,0.290080492893908
"337","boundary.distance","fire2016.date",0.798103623413692,0.00323585896271306
"338","road.distance","fire2016.date",-0.351580530979407,0.289024509294786
"339","road.major.distance","fire2016.date",-0.21980031078582,0.516075537802961
"340","urema.distance","fire2016.date",-0.58771603521825,0.0572457501301642
"341","pan.distance","fire2016.date",0.356640341080721,0.281653983841571
"342","river.distance","fire2016.date",0.0967440928255144,0.777201755600455
